,property_type_Apartment,property_type_Hotel,property_type_House,property_type_Other,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_rate,latitude,longitude,accommodates,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_since_years,TV with standard cable,Oven,Security cameras on property,Hair dryer,Hangers,Elevator,Hot water kettle,TV,Breakfast,Cleaning available during stay,Luggage dropoff allowed,Dryer,Shower gel,First aid kit,Bed linens,Pool,Essentials,Building staff,Carbon monoxide alarm,Crib,Lock on bedroom door,Washer,Heating,Pets allowed,Patio or balcony,Bathtub,Free street parking,Dishes and silverware,Paid parking on premises,Kitchen,Refrigerator,Fire extinguisher,Dining table,Free parking on premises,BBQ grill,Clothing storage,Paid parking off premises,Coffee,Smoke alarm,Iron,Dedicated workspace,Extra pillows and blankets,Keypad,Cooking basics,Microwave,Private entrance,Self check-in,Shampoo,Hot water,Stove,Host greets you,Single level home,Gym,distance_from_MRT,distance_from_Bus,distance_from_Mall,distance_from_School,distance_from_Food,distanceCluster
10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.86,1.31144,103.83784,2,1,1,79.0,365,81,4.43,4.45,4.41,4.71,4.76,4.64,4.55,12,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,False,3.370317351285713,0.0855387685750011,1.9739155908144723,0.781790997683542,0.2907640490316103,2
11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.86,1.31129,103.83788,2,1,1,66.0,365,165,4.39,4.31,4.12,4.65,4.67,4.6,4.32,12,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,3.361448792579344,0.1004795716489725,1.95851673887018,0.7769332861424264,0.2918302606188532,2
12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.29335,103.83768,1,1,1,100.0,83,27,4.31,4.27,4.08,4.73,4.69,4.58,4.19,11,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.3609106535481903,0.3204851297256533,1.0615191452954522,0.7817400050128626,0.1469948440275227,2
13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.34816,103.93238,2,1,1,37.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.3980465609115065,0.1319773498570077,5.96381469900081,2.946400977498992,0.3765414860881225,0
14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.34361,103.95717,2,1,1,83.0,90,80,4.82,4.87,4.79,4.93,4.92,4.59,4.64,12,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,0.4249111252571186,0.0717690395831044,7.497372943421215,3.9227383411387713,0.4472826892406139,0
15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.30096,103.85206,2,1,1,162.0,365,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2.1634142608662965,0.0190385823639651,0.2414908350816927,0.8610152050014095,0.0238166555271864,2
16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.98,1.30938,103.79812,2,1,1,100.0,89,28,4.5,4.28,4.48,4.8,4.8,4.88,4.44,12,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7716660142160318,0.2951587188946077,5.803385293101407,0.5022651281027313,0.2664175840756141,2
17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.36926,103.87312,1,1,1,26.0,365,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2.5422408403136973,0.1165804239044199,4.236129468924852,2.0381644426216123,0.0994153373683981,0
18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,1.27663,103.84498,4,1,1,119.0,273,72,4.63,4.67,4.57,4.7,4.82,4.91,4.5,11,True,False,False,True,True,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True,2.8170956767668387,0.1787932289292406,1.3818532313414746,0.5680538146105683,0.0200252867582619,2
19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,1.27585,103.84597,4,1,1,119.0,365,26,4.56,4.44,4.32,4.76,4.88,4.96,4.28,11,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,2.878388401158128,0.0438482824912569,1.4623210966976057,0.6771539580503886,0.0179379596785668,2
20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.30416,103.90076,2,1,1,250.0,0,70,4.73,4.74,4.75,4.84,4.77,4.74,4.66,11,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,1.755296855368506,0.0782685040217713,0.2974869771585791,0.0979186991129078,0.0503402447743091,0
21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.2841,103.84253,1,1,1,69.0,331,2,4.0,3.0,3.0,4.0,4.5,4.0,3.0,11,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,2.929609394939978,0.0566289521844443,0.679254539573551,0.4353430230141636,0.0956219696695484,2
22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.29065,103.80941,1,1,1,55.0,304,15,4.2,3.87,4.27,4.27,4.47,4.27,3.93,12,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,0.5794481371615012,0.1688324063824555,4.09167603559671,1.0236454459132984,0.2151970195187746,2
23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.98,1.30492,103.90315,4,2,2,300.0,0,40,4.78,4.83,4.83,4.7,4.78,4.78,4.83,11,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False,1.6550125716256547,0.0329288868107845,0.1988658261488462,0.1050908159456917,0.0029694248987157,0
24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.30425,103.90097,2,1,1,150.0,0,71,4.54,4.81,4.76,4.66,4.76,4.78,4.55,11,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,1.7423690669870755,0.0710518534527653,0.2803606328184525,0.0769050153781095,0.0482339915387789,0
25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.31313,103.91479,1,1,1,270.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9027527890783332,0.3899618800019416,1.699021499303575,1.063428904253306,0.4231102604490767,0
26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.27716,103.82299,2,1,2,150.0,365,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.3215843554837043,0.0776932339404333,2.894609056462788,0.7874481313302727,0.4615397002785837,2
27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.3092,103.86339,1,1,1,57.0,331,2,5.0,5.0,4.5,5.0,5.0,5.0,5.0,11,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False,0.918884737389009,0.0197634352443032,1.7898050780826205,0.7623261279372094,0.0930847050504805,0
28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.28485,103.84317,1,1,1,79.0,331,3,4.0,4.0,3.67,4.67,4.67,4.67,4.33,11,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,2.947481975874728,0.0844204741893576,0.5699194386584299,0.5369447662806065,0.0390616754247333,2
29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.31208,103.85846,1,1,1,50.0,331,2,4.5,4.5,4.0,4.5,4.5,5.0,4.0,11,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,1.4333041378987414,0.1792832309889948,1.666511537230568,0.9557297962491254,0.1002834469299864,0
30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.30663,103.86243,1,1,1,57.0,331,2,5.0,4.5,4.0,5.0,5.0,5.0,4.0,11,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False,1.126975240290641,0.1014479315141755,1.537090776083108,0.4680924298630515,0.1627544960687533,0
31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.33389,103.83454,1,1,1,90.0,146,247,4.87,4.92,4.91,4.94,4.92,4.79,4.81,10,True,True,False,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,False,False,False,True,True,True,True,False,True,3.3239582292729324,0.3835947074589755,3.792868324902356,0.6475689280502053,1.0043519884123664,0
32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.29245,103.83742,2,1,1,201.0,280,258,4.84,4.89,4.78,4.93,4.95,4.84,4.73,10,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,2.316889937404056,0.3795739554995589,1.046644890117249,0.8807595353535665,0.0981590320110753,2
33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.31322,103.85583,1,1,1,69.0,331,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,False,True,False,False,True,False,1.7350331104189771,0.0520097237498266,1.655414410158071,1.1466327405845202,0.0705009906152183,0
34,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.28458,103.84311,1,1,1,79.0,331,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,2.96129981904471,0.0537165031600503,0.5982649234236104,0.5065237219544192,0.0681291852279698,2
35,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.28386,103.84238,1,1,1,69.0,177,3,4.0,4.33,3.0,4.67,4.67,5.0,4.33,11,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,2.919078333945435,0.0780903886912544,0.710622478713187,0.40521128848382,0.1031027690492055,2
36,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.98,1.37975,103.94375,2,1,1,50.0,304,10,4.7,4.7,4.9,4.8,5.0,4.3,4.6,10,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,0.6620328219934437,0.1261369080723096,9.636807308886883,1.2502853798326885,0.5296648322590786,0
37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.3072,103.86359,1,1,1,59.0,331,9,4.14,4.29,4.43,4.83,4.57,4.83,4.17,11,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,False,0.9834245916520096,0.0526867840365588,1.6800034023929842,0.5485107477071403,0.1467487504277403,0
38,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.98,1.32359,103.8498,4,1,4,30.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.747761834540533,0.1699592404195544,2.261709421330461,0.7792856900580257,0.1648442729741444,0
40,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.2841900000000002,103.82765,1,1,1,60.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.35346045351413,0.1997252868038728,2.1281626680021684,0.2307084482834629,0.2042475080109604,2
41,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.2841,103.84253,1,1,1,79.0,331,5,4.4,4.6,4.2,5.0,5.0,4.8,4.2,11,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,2.929609394939978,0.0566289521844443,0.679254539573551,0.4353430230141636,0.0956219696695484,2
42,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.98,1.39088,103.85303,3,1,2,216.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3531792887735716,0.1256400083175042,6.831905700745221,1.275978959292424,1.0463433933868314,3
43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.34126,103.75992,1,1,1,80.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4388212439044763,0.1019213589574993,11.065132918204274,2.6841959274524587,0.3249104251295646,1
44,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,1.30292,103.858,3,1,3,90.0,0,2,4.0,3.5,3.5,4.5,4.0,4.5,4.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7612394964325553,0.1016307962971098,0.9042010745344998,0.1663648966371199,0.0246694604158007,2
45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9,1.28405,103.84424,1,1,1,63.0,235,150,4.56,4.65,4.43,4.84,4.79,4.86,4.67,10,True,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,2.85571180926113,0.1083990074213851,0.5910689949881038,0.4409703575081368,0.003469607225715,2
46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9,1.28405,103.84424,6,1,6,338.0,235,2,4.5,5.0,4.5,5.0,5.0,5.0,5.0,10,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,2.85571180926113,0.1083990074213851,0.5910689949881038,0.4409703575081368,0.003469607225715,4
47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9,1.28405,103.84424,1,1,1,61.0,237,93,4.67,4.72,4.66,4.88,4.85,4.9,4.62,10,True,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,2.85571180926113,0.1083990074213851,0.5910689949881038,0.4409703575081368,0.003469607225715,2
48,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,1.28466,103.84255000000002,1,1,1,69.0,331,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,2.9193141417914843,0.0825126621601708,0.6289827934033145,0.4960750430481866,0.0333245371508494,2
49,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.31805,103.92361,1,1,1,95.0,365,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,0.9866909528480826,0.1277081169264407,2.8077174477456714,0.9421102870514476,0.3597820725098338,0
50,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.3209,103.91569,1,1,1,49.0,79,3,4.67,5.0,5.0,5.0,5.0,5.0,4.33,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3075120687371555,0.1078054088851716,2.4126798173212203,0.6127229708454506,0.2206319997119677,0
51,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.32204,103.92125,2,1,1,60.0,92,2,5.0,4.5,4.5,4.5,4.5,4.5,4.5,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9320032715311212,0.1405745019676904,2.9037982010104635,0.4270805848589034,0.2019976195824934,0
52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,1.27525,103.84524,4,1,1,119.0,358,77,4.51,4.62,4.63,4.67,4.67,4.85,4.46,11,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,False,False,True,2.776978963953366,0.0665454421005353,1.5324163992518318,0.704325925845265,0.0629544354921888,2
