,host_response_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_since_years,TV with standard cable,Oven,Security cameras on property,Hair dryer,Hangers,Elevator,Hot water kettle,TV,Breakfast,Cleaning available during stay,Luggage dropoff allowed,Dryer,Shower gel,First aid kit,Bed linens,Pool,Essentials,Building staff,Carbon monoxide alarm,Crib,Lock on bedroom door,Washer,Heating,Pets allowed,Patio or balcony,Bathtub,Free street parking,Dishes and silverware,Paid parking on premises,Kitchen,Refrigerator,Fire extinguisher,Dining table,Free parking on premises,BBQ grill,Clothing storage,Paid parking off premises,Coffee,Smoke alarm,Iron,Dedicated workspace,Extra pillows and blankets,Keypad,Cooking basics,Microwave,Private entrance,Self check-in,Shampoo,Hot water,Stove,Host greets you,Single level home,Gym
14,0.0,Tampines,East Region,1.34816,103.93238,Apartment,Private room,2,1.0,1.0,37.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,0.0,Tampines,East Region,1.34361,103.95717,Apartment,Private room,2,1.0,1.0,83.0,90,80,4.82,4.87,4.79,4.93,4.92,4.59,4.64,12,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True
16,0.0,Rochor,Central Region,1.30096,103.85206,Apartment,Private room,2,1.0,1.0,162.0,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,0.0,Bukit Timah,Central Region,1.30938,103.79812,House,Private room,2,1.0,1.0,100.0,89,28,4.5,4.28,4.48,4.8,4.8,4.88,4.44,12,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18,0.0,Serangoon,North-East Region,1.36926,103.87312,Apartment,Private room,1,1.0,1.0,26.0,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
19,0.67,Downtown Core,Central Region,1.27663,103.84498,Apartment,Private room,4,1.0,1.0,119.0,273,72,4.63,4.67,4.57,4.7,4.82,4.91,4.5,11,True,False,False,True,True,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True
20,0.67,Downtown Core,Central Region,1.27585,103.84597,Apartment,Private room,4,1.0,1.0,119.0,365,26,4.56,4.44,4.32,4.76,4.88,4.96,4.28,11,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True
21,0.0,Marine Parade,Central Region,1.30416,103.90076,Apartment,Private room,2,1.0,1.0,250.0,0,70,4.73,4.74,4.75,4.84,4.77,4.74,4.66,11,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False
22,0.8,Outram,Central Region,1.2841,103.84253,Apartment,Private room,1,1.0,1.0,69.0,331,2,4.0,3.0,3.0,4.0,4.5,4.0,3.0,11,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
23,1.0,Bukit Merah,Central Region,1.29065,103.80941,Apartment,Private room,1,1.0,1.0,55.0,304,15,4.2,3.87,4.27,4.27,4.47,4.27,3.93,12,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False
24,0.0,Marine Parade,Central Region,1.30492,103.90315,House,Entire home/apt,4,2.0,2.0,300.0,0,40,4.78,4.83,4.83,4.7,4.78,4.78,4.83,11,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False
25,0.0,Marine Parade,Central Region,1.30425,103.90097,Apartment,Private room,2,1.0,1.0,150.0,0,71,4.54,4.81,4.76,4.66,4.76,4.78,4.55,11,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False
26,0.0,Bedok,East Region,1.31313,103.91479,Apartment,Private room,1,1.0,1.0,270.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,1.0,Bukit Merah,Central Region,1.27716,103.82299,Apartment,Private room,2,1.0,2.0,150.0,365,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
28,0.8,Kallang,Central Region,1.3092,103.86339,Apartment,Private room,1,1.0,1.0,57.0,331,2,5.0,5.0,4.5,5.0,5.0,5.0,5.0,11,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False
29,0.8,Outram,Central Region,1.28485,103.84317,Apartment,Private room,1,1.0,1.0,79.0,331,3,4.0,4.0,3.67,4.67,4.67,4.67,4.33,11,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
30,0.8,Kallang,Central Region,1.31208,103.85846,Apartment,Private room,1,1.0,1.0,50.0,331,2,4.5,4.5,4.0,4.5,4.5,5.0,4.0,11,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
31,0.8,Kallang,Central Region,1.30663,103.86243,Apartment,Private room,1,1.0,1.0,57.0,331,2,5.0,4.5,4.0,5.0,5.0,5.0,4.0,11,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False
32,1.0,Novena,Central Region,1.33389,103.83454,Apartment,Private room,1,1.0,1.0,90.0,146,247,4.87,4.92,4.91,4.94,4.92,4.79,4.81,10,True,True,False,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,False,False,False,True,True,True,True,False,True
33,1.0,River Valley,Central Region,1.29245,103.83742,Apartment,Entire home/apt,2,1.0,1.0,201.0,280,258,4.84,4.89,4.78,4.93,4.95,4.84,4.73,10,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False
34,0.8,Kallang,Central Region,1.31322,103.85583,Apartment,Private room,1,1.0,1.0,69.0,331,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,False,True,False,False,True,False
35,0.8,Outram,Central Region,1.28458,103.84311,Apartment,Private room,1,1.0,1.0,79.0,331,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
36,0.8,Outram,Central Region,1.28386,103.84238,Apartment,Private room,1,1.0,1.0,69.0,177,3,4.0,4.33,3.0,4.67,4.67,5.0,4.33,11,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
37,0.0,Pasir Ris,East Region,1.37975,103.94375,Other,Private room,2,1.0,1.0,50.0,304,10,4.7,4.7,4.9,4.8,5.0,4.3,4.6,10,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False
38,0.8,Kallang,Central Region,1.3072,103.86359,Apartment,Private room,1,1.0,1.0,59.0,331,9,4.14,4.29,4.43,4.83,4.57,4.83,4.17,11,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,False,True,True,False,True,False
39,0.0,Novena,Central Region,1.32359,103.8498,House,Private room,4,1.0,4.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,1.0,Kallang,Central Region,1.31108,103.87374,Other,Entire home/apt,8,4.0,12.0,130.0,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
41,0.0,Bukit Merah,Central Region,1.28419,103.82765,Apartment,Private room,1,1.0,1.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42,0.8,Outram,Central Region,1.2841,103.84253,Apartment,Private room,1,1.0,1.0,79.0,331,5,4.4,4.6,4.2,5.0,5.0,4.8,4.2,11,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
43,0.0,Ang Mo Kio,North-East Region,1.39088,103.85303,House,Private room,3,1.0,2.0,216.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,0.0,Bukit Batok,West Region,1.34126,103.75992,Apartment,Private room,1,1.0,1.0,80.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,0.0,Rochor,Central Region,1.30292,103.858,Hotel,Private room,3,1.0,3.0,90.0,0,2,4.0,3.5,3.5,4.5,4.0,4.5,4.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,0.9,Outram,Central Region,1.28405,103.84424,Other,Shared room,1,1.0,1.0,63.0,235,150,4.56,4.65,4.43,4.84,4.79,4.86,4.67,10,True,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False
47,0.9,Outram,Central Region,1.28405,103.84424,Other,Hotel room,6,1.0,6.0,338.0,235,2,4.5,5.0,4.5,5.0,5.0,5.0,5.0,10,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False
48,0.9,Outram,Central Region,1.28405,103.84424,Other,Hotel room,1,1.0,1.0,61.0,237,93,4.67,4.72,4.66,4.88,4.85,4.9,4.62,10,True,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False
49,0.9,Outram,Central Region,1.28466,103.84255,Apartment,Private room,1,1.0,1.0,69.0,331,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
50,1.0,Bedok,East Region,1.31805,103.92361,House,Private room,1,1.0,1.0,95.0,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False
51,1.0,Bedok,East Region,1.3209,103.91569,House,Private room,1,1.0,1.0,49.0,79,3,4.67,5.0,5.0,5.0,5.0,5.0,4.33,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,1.0,Bedok,East Region,1.32204,103.92125,House,Private room,2,1.0,1.0,60.0,92,2,5.0,4.5,4.5,4.5,4.5,4.5,4.5,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,0.67,Downtown Core,Central Region,1.27525,103.84524,Apartment,Private room,4,1.0,1.0,119.0,358,77,4.51,4.62,4.63,4.67,4.67,4.85,4.46,11,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,False,False,True
54,1.0,Bedok,East Region,1.32301,103.92211,House,Private room,1,1.0,1.0,68.0,173,5,4.8,5.0,5.0,4.8,5.0,4.6,4.6,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,1.0,Bedok,East Region,1.31963,103.924,House,Private room,1,1.0,4.0,95.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,0.0,Novena,Central Region,1.32453,103.85255,Apartment,Private room,1,1.0,2.0,343.0,173,2,3.5,2.0,3.0,4.0,5.0,3.0,2.5,10,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,1.0,Bedok,East Region,1.31936,103.91663,Other,Entire home/apt,5,1.0,3.0,139.0,261,369,4.93,4.88,4.94,4.95,4.95,4.8,4.85,10,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False
59,0.75,Hougang,North-East Region,1.36722,103.89765,Apartment,Private room,1,1.0,1.0,50.0,304,14,4.79,4.71,4.5,4.79,4.86,4.0,4.5,10,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,True,True
60,0.0,Woodlands,North Region,1.44076,103.77626,Apartment,Private room,1,1.0,1.0,30.0,0,5,4.75,4.75,4.5,5.0,4.5,4.25,5.0,9,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,0.33,Singapore River,Central Region,1.29182,103.83496,House,Entire home/apt,2,1.0,1.0,150.0,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62,1.0,Kallang,Central Region,1.3117,103.86028,Hotel,Private room,1,1.0,1.0,78.0,266,79,4.53,4.48,4.54,4.82,4.79,4.74,4.45,9,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False
63,1.0,Kallang,Central Region,1.3117,103.86028,Hotel,Private room,2,1.0,1.0,110.0,263,66,4.55,4.62,4.62,4.91,4.91,4.69,4.59,9,False,False,True,True,True,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False
64,1.0,Kallang,Central Region,1.3117,103.86028,Hotel,Private room,1,1.0,1.0,78.0,263,19,4.53,4.58,4.47,4.84,4.84,4.79,4.53,9,False,False,True,True,True,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False
65,0.9,Kallang,Central Region,1.31117,103.86214,Apartment,Private room,1,1.0,1.0,49.0,331,1,4.0,4.0,3.0,5.0,5.0,5.0,3.0,10,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False
66,0.0,Queenstown,Central Region,1.30692,103.8007,House,Shared room,1,1.0,1.0,75.0,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
67,1.0,Queenstown,Central Region,1.2805,103.78439,Hotel,Private room,1,1.0,1.0,212.0,254,15,4.53,4.47,4.4,4.87,4.73,4.53,4.53,12,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False
68,0.86,Orchard,Central Region,1.30085,103.84318,Apartment,Private room,1,1.0,1.0,80.0,364,1,2.0,3.0,3.0,2.0,4.0,5.0,2.0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,1.0,Hougang,North-East Region,1.35956,103.88423,Apartment,Private room,1,1.0,1.0,96.0,264,9,4.89,5.0,4.89,5.0,5.0,5.0,4.78,11,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False
