,host_response_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,amenities,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_since_years
11,0.86,Newton,Central Region,1.31144,103.83784,Other,Private room,2,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Shampoo"", ""Smoke alarm"", ""Bed linens"", ""Hot water"", ""Washer""]",79.0,365,81,4.43,4.45,4.41,4.71,4.76,4.64,4.55,12
12,0.86,Newton,Central Region,1.31129,103.83788,House,Private room,2,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Bed linens"", ""Hot water"", ""Washer""]",66.0,365,165,4.39,4.31,4.12,4.65,4.67,4.6,4.32,12
13,0.98,River Valley,Central Region,1.29335,103.83768,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Backyard"", ""Iron"", ""Elevator"", ""Kitchen"", ""Hair dryer"", ""Dryer"", ""Hangers"", ""Pool"", ""Wifi"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Washer""]",100.0,83,27,4.31,4.27,4.08,4.73,4.69,4.58,4.19,11
14,0.98,Tampines,East Region,1.34816,103.93238,Apartment,Private room,2,1.0,1.0,"[""Air conditioning"", ""Elevator"", ""Kitchen"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Washer""]",37.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11
15,0.98,Tampines,East Region,1.34361,103.95717,Apartment,Private room,2,1.0,1.0,"[""Refrigerator"", ""Hair dryer"", ""Hot tub"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Iron"", ""Microwave"", ""Elevator"", ""Dryer"", ""Pool"", ""Gym"", ""Lock on bedroom door"", ""Air conditioning"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Shampoo"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",83.0,90,80,4.82,4.87,4.79,4.93,4.92,4.59,4.64,12
16,0.98,Rochor,Central Region,1.30096,103.85206,Apartment,Private room,2,1.0,1.0,"[""Air conditioning"", ""Elevator"", ""Kitchen"", ""Dryer"", ""TV"", ""Pool"", ""Wifi"", ""Gym"", ""Long term stays allowed"", ""Washer""]",162.0,365,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11
17,0.98,Bukit Timah,Central Region,1.30938,103.79812,House,Private room,2,1.0,1.0,"[""Air conditioning"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Washer""]",100.0,89,28,4.5,4.28,4.48,4.8,4.8,4.88,4.44,12
18,0.0,Serangoon,North-East Region,1.36926,103.87312,Apartment,Private room,1,1.0,1.0,"[""Shampoo"", ""Iron"", ""Elevator"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Washer""]",26.0,365,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11
19,0.67,Downtown Core,Central Region,1.27663,103.84498,Apartment,Private room,4,1.0,1.0,"[""First aid kit"", ""Lockbox"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Smoking allowed"", ""Hot tub"", ""Wifi"", ""Long term stays allowed"", ""Iron"", ""Elevator"", ""Dryer"", ""Paid parking on premises"", ""Pool"", ""Gym"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Essentials"", ""Hangers"", ""Paid parking off premises"", ""Self check-in"", ""Fire extinguisher"", ""Shampoo"", ""Pets allowed"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",119.0,273,72,4.63,4.67,4.57,4.7,4.82,4.91,4.5,11
20,0.67,Downtown Core,Central Region,1.27585,103.84597,Apartment,Private room,4,1.0,1.0,"[""Refrigerator"", ""Lockbox"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Smoking allowed"", ""Hot tub"", ""Wifi"", ""Long term stays allowed"", ""Iron"", ""Microwave"", ""Elevator"", ""Dryer"", ""Paid parking on premises"", ""Pool"", ""Gym"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Essentials"", ""Hangers"", ""Paid parking off premises"", ""Self check-in"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",119.0,365,26,4.56,4.44,4.32,4.76,4.88,4.96,4.28,11
21,0.98,Marine Parade,Central Region,1.30416,103.90076,Apartment,Private room,2,1.0,1.0,"[""Air conditioning"", ""Shampoo"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hot water"", ""Hangers"", ""TV"", ""Carbon monoxide alarm"", ""Bathtub"", ""Wifi"", ""Breakfast"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Washer""]",250.0,0,70,4.73,4.74,4.75,4.84,4.77,4.74,4.66,11
22,0.8,Outram,Central Region,1.2841,103.84253,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Elevator"", ""Dryer"", ""Paid parking on premises"", ""Keypad"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",69.0,331,2,4.0,3.0,3.0,4.0,4.5,4.0,3.0,11
23,1.0,Bukit Merah,Central Region,1.29065,103.80941,Apartment,Private room,1,1.0,1.0,"[""Shampoo"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Hair dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""TV"", ""Wifi"", ""Smart lock"", ""Lock on bedroom door"", ""Self check-in""]",55.0,304,15,4.2,3.87,4.27,4.27,4.47,4.27,3.93,12
24,0.98,Marine Parade,Central Region,1.30492,103.90315,House,Entire home/apt,4,2.0,2.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Dedicated workspace"", ""TV"", ""Toaster"", ""Bathtub"", ""Wifi"", ""Long term stays allowed"", ""Iron"", ""Drying rack for clothing"", ""Microwave"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Stove"", ""Air conditioning"", ""Clothing storage: dresser and closet"", ""Ceiling fan"", ""Conditioner"", ""Free street parking"", ""Essentials"", ""Mini fridge"", ""Hangers"", ""Public or shared beach access"", ""Hot water kettle"", ""Dishes and silverware"", ""Cleaning products"", ""Shampoo"", ""Shower gel"", ""Smoke alarm"", ""Dining table"", ""Bed linens"", ""Wine glasses"", ""Body soap"", ""Hot water"", ""Carbon monoxide alarm"", ""Laundromat nearby""]",300.0,0,40,4.78,4.83,4.83,4.7,4.78,4.78,4.83,11
25,0.98,Marine Parade,Central Region,1.30425,103.90097,Apartment,Private room,2,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Wifi"", ""Breakfast"", ""Long term stays allowed"", ""Iron"", ""Dishwasher"", ""Lock on bedroom door"", ""Air conditioning"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Shampoo"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Hot water"", ""Carbon monoxide alarm"", ""Washer""]",150.0,0,71,4.54,4.81,4.76,4.66,4.76,4.78,4.55,11
26,0.98,Bedok,East Region,1.31313,103.91479,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""TV"", ""Wifi"", ""Long term stays allowed""]",270.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,11
27,1.0,Bukit Merah,Central Region,1.27716,103.82299,Apartment,Private room,2,1.0,2.0,"[""Host greets you"", ""Long term stays allowed""]",150.0,365,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11
28,0.8,Kallang,Central Region,1.3092,103.86339,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Dryer"", ""Pool"", ""Keypad"", ""Single level home"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",57.0,331,2,5.0,5.0,4.5,5.0,5.0,5.0,5.0,11
29,0.8,Outram,Central Region,1.28485,103.84317,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Private living room"", ""Oven"", ""Iron"", ""Microwave"", ""Elevator"", ""Dryer"", ""Paid parking on premises"", ""Keypad"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",79.0,331,3,4.0,4.0,3.67,4.67,4.67,4.67,4.33,11
30,0.8,Kallang,Central Region,1.31208,103.85846,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Dryer"", ""Paid parking on premises"", ""Pool"", ""Keypad"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",50.0,331,2,4.5,4.5,4.0,4.5,4.5,5.0,4.0,11
31,0.8,Kallang,Central Region,1.30663,103.86243,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Dryer"", ""Pool"", ""Keypad"", ""Single level home"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",57.0,331,2,5.0,4.5,4.0,5.0,5.0,5.0,4.0,11
32,1.0,Novena,Central Region,1.33389,103.83454,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""First aid kit"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Wifi"", ""Outdoor dining area"", ""Long term stays allowed"", ""Private patio or balcony"", ""Oven"", ""Iron"", ""Drying rack for clothing"", ""Portable fans"", ""Rice maker"", ""Elevator"", ""Outdoor furniture"", ""Paid parking on premises"", ""Room-darkening shades"", ""Baking sheet"", ""Coffee"", ""Gym"", ""Stove"", ""Lock on bedroom door"", ""Paid parking lot off premises"", ""Host greets you"", ""Air conditioning"", ""TV with standard cable"", ""Freezer"", ""Conditioner"", ""Blender"", ""Essentials"", ""Clothing storage: closet"", ""Hangers"", ""Hot water kettle"", ""Dishes and silverware"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Shampoo"", ""Shower gel"", ""Smoke alarm"", ""Dining table"", ""Bed linens"", ""Shared pool"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Body soap"", ""Hot water"", ""Carbon monoxide alarm"", ""Coffee maker"", ""BBQ grill"", ""City skyline view"", ""Washer""]",90.0,146,247,4.87,4.92,4.91,4.94,4.92,4.79,4.81,10
33,1.0,River Valley,Central Region,1.29245,103.83742,Apartment,Entire home/apt,2,1.0,1.0,"[""Cooking basics"", ""First aid kit"", ""Refrigerator"", ""Kitchen"", ""Private entrance"", ""Bidet"", ""Dedicated workspace"", ""Toaster"", ""Bathtub"", ""Outdoor dining area"", ""Long term stays allowed"", ""Private patio or balcony"", ""Iron"", ""Microwave"", ""Elevator"", ""Room-darkening shades"", ""Free washer \u2013 In unit"", ""Keypad"", ""Ethernet connection"", ""Central air conditioning"", ""Security cameras on property"", ""43\"" HDTV with Disney+, Netflix"", ""Freezer"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Hangers"", ""Free parking on premises"", ""Hot water kettle"", ""Dishes and silverware"", ""Paid parking off premises"", ""Cleaning products"", ""Self check-in"", ""Fast wifi \u2013 112 Mbps"", ""Extra pillows and blankets"", ""Shampoo"", ""Shower gel"", ""Dining table"", ""Bed linens"", ""Wine glasses"", ""Body soap"", ""Hot water"", ""Coffee maker"", ""Laundromat nearby""]",201.0,280,258,4.84,4.89,4.78,4.93,4.95,4.84,4.73,10
34,0.8,Kallang,Central Region,1.31322,103.85583,Apartment,Private room,1,1.0,1.0,"[""Heating"", ""Refrigerator"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Iron"", ""Microwave"", ""Dryer"", ""Pool"", ""Keypad"", ""Single level home"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",69.0,331,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11
35,0.8,Outram,Central Region,1.28458,103.84311,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Private living room"", ""Oven"", ""Iron"", ""Microwave"", ""Elevator"", ""Dryer"", ""Paid parking on premises"", ""Keypad"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",79.0,331,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11
36,0.8,Outram,Central Region,1.28386,103.84238,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Elevator"", ""Dryer"", ""Paid parking on premises"", ""Keypad"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",69.0,177,3,4.0,4.33,3.0,4.67,4.67,5.0,4.33,11
37,0.98,Pasir Ris,East Region,1.37975,103.94375,Other,Private room,2,1.0,1.0,"[""Cooking basics"", ""Kitchen"", ""Bidet"", ""Dedicated workspace"", ""Wifi"", ""Clothing storage"", ""Long term stays allowed"", ""Private patio or balcony"", ""Iron"", ""Drying rack for clothing"", ""Rice maker"", ""Microwave"", ""Room-darkening shades"", ""Lock on bedroom door"", ""Air conditioning"", ""Ceiling fan"", ""Freezer"", ""Conditioner"", ""Free street parking"", ""Essentials"", ""Mini fridge"", ""Free parking on premises"", ""Hangers"", ""Public or shared beach access"", ""Hot water kettle"", ""Dishes and silverware"", ""Shampoo"", ""Shower gel"", ""Gas stove"", ""Bed linens"", ""Hot water"", ""Body soap"", ""Laundromat nearby"", ""Washer""]",50.0,304,10,4.7,4.7,4.9,4.8,5.0,4.3,4.6,10
38,0.8,Kallang,Central Region,1.3072,103.86359,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Dryer"", ""Pool"", ""Single level home"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",59.0,331,9,4.14,4.29,4.43,4.83,4.57,4.83,4.17,11
39,0.98,Novena,Central Region,1.32359,103.8498,House,Private room,4,1.0,4.0,"[""Air conditioning"", ""Dryer"", ""Wifi"", ""Breakfast"", ""Long term stays allowed"", ""Washer""]",30.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10
40,1.0,Kallang,Central Region,1.31108,103.87374,Other,Entire home/apt,8,4.0,12.0,"[""Garden view"", ""Extra pillows and blankets"", ""Air conditioning"", ""Fire extinguisher"", ""Shampoo"", ""First aid kit"", ""Bed linens"", ""Essentials"", ""Kitchen"", ""Luggage dropoff allowed"", ""Cleaning available during stay"", ""Wifi"", ""Breakfast"", ""Paid parking off premises"", ""Long term stays allowed"", ""Washer""]",130.0,365,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10
41,0.98,Bukit Merah,Central Region,1.28419,103.82765,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Elevator"", ""Kitchen"", ""Dryer"", ""TV"", ""Pool"", ""Wifi"", ""Gym"", ""Long term stays allowed"", ""Washer""]",60.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10
42,0.8,Outram,Central Region,1.2841,103.84253,Apartment,Private room,1,1.0,1.0,"[""Cooking basics"", ""Heating"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Wifi"", ""Long term stays allowed"", ""Private living room"", ""Oven"", ""Iron"", ""Microwave"", ""Elevator"", ""Dryer"", ""Paid parking on premises"", ""Keypad"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""TV with standard cable"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Extra pillows and blankets"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",79.0,331,5,4.4,4.6,4.2,5.0,5.0,4.8,4.2,11
43,0.98,Ang Mo Kio,North-East Region,1.39088,103.85303,House,Private room,3,1.0,2.0,"[""Free parking on premises"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed""]",216.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10
44,0.98,Bukit Batok,West Region,1.34126,103.75992,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Elevator"", ""Kitchen"", ""Wifi"", ""Long term stays allowed"", ""Washer""]",80.0,0,0,4.72,4.8,4.69,4.93,4.95,4.88,4.6,10
45,0.98,Rochor,Central Region,1.30292,103.858,Hotel,Private room,3,1.0,3.0,"[""Long term stays allowed""]",90.0,0,2,4.0,3.5,3.5,4.5,4.0,4.5,4.0,10
46,0.9,Outram,Central Region,1.28405,103.84424,Other,Shared room,1,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Wifi"", ""Breakfast"", ""Long term stays allowed"", ""Iron"", ""Microwave"", ""Dryer"", ""Air conditioning"", ""TV with standard cable"", ""Security cameras on property"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Patio or balcony"", ""Fire extinguisher"", ""Shampoo"", ""Smoke alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",63.0,235,150,4.56,4.65,4.43,4.84,4.79,4.86,4.67,10
47,0.9,Outram,Central Region,1.28405,103.84424,Other,Hotel room,6,1.0,6.0,"[""Cooking basics"", ""First aid kit"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Wifi"", ""Breakfast"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Dryer"", ""Air conditioning"", ""TV with standard cable"", ""Security cameras on property"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Patio or balcony"", ""Fire extinguisher"", ""Shampoo"", ""Smoke alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Hot water"", ""Washer""]",338.0,235,2,4.5,5.0,4.5,5.0,5.0,5.0,5.0,10
